product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/asian-riya-04-navy-pink-sports-shoes-gym-shoes-casual-shoes-walking-shoes-running-shoes-women/p/itmc2c39df379fcc?pid=SHOFMY6JHGURGZX7&lid=LSTSHOFMY6JHGURGZX7PPGUF0&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOFMY6JHGURGZX7.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,"Riya-04 Navy Pink Sports Shoes,Gym Shoes,Casual Shoes,Walking Shoes, Running Shoes For Women",asian,647,0.35,4.1,41709
https://www.flipkart.com/k-footlance-stylish-walking-partywear-sneakers-casual-shoes-women/p/itm9092b85991653?pid=SHOGJ2W8CZVPQNDZ&lid=LSTSHOGJ2W8CZVPQNDZIBURCN&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=default_BestsellerId_osp%2Fiko%2Fd20&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOGJ2W8CZVPQNDZ.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,Stylish Walking Partywear Sneakers Casual Shoes Walking Shoes For Women,K' Footlance,361,0.63,3.9,14750
https://www.flipkart.com/asian-fashion-02-sports-shoes-women-without-laces-running-girls-stylish-latest-design-new-fashion-casual-sneakers-ladies-slip-grey-jogging-walking-gym-party-walking/p/itmf7ct5bpync2uh?pid=SHOF7CRTBXM3ECPV&lid=LSTSHOF7CRTBXM3ECPVAREXWE&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOF7CRTBXM3ECPV.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,"Fashion-02 sports shoes for women without laces | Running shoes for girls stylish latest design new fashion | casual sneakers for ladies | Slip on grey shoes for jogging, walking, gym & party Walking Shoes For Women",asian,724,0.44,4.2,14231
https://www.flipkart.com/trase-comfy-sports-walking-shoes-women/p/itm3ea9b554ad00a?pid=SHOHDBH3VMGEBDN8&lid=LSTSHOHDBH3VMGEBDN8OX1BND&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=en_GxVLJ-nmb2AHCAdVPTwdbIrvF8HfLHjQxbr0zaUR3spNk8sOqRBFG1SIUU0iqjii33UVWizp-2p7Wno_ySIBxw%3D%3D&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,Comfy Sports Walking Shoes For Women,TRASE,448,0.65,4.2,245
https://www.flipkart.com/avant-magix-running-training-shoes-superior-traction-anti-skid-lightweight-shoes-women/p/itm8902c4f38ea68?pid=SHOHYGASUGYKQGG4&lid=LSTSHOHYGASUGYKQGG4XESAHW&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=en_GxVLJ-nmb2AHCAdVPTwdbIrvF8HfLHjQxbr0zaUR3srRGwiuS_rsl9fkJB9UxgZDs0iFFZiETrl9XzsWQhzvQtmEaX_1OVaDgohoY5ZV-y8%3D&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,"MagiX Running and Training Shoes-Superior Traction,Anti Skid, Lightweight Running Shoes For Women",AVANT,845,0.39,4.2,420
https://www.flipkart.com/asian-sunshine-01-aqua-sneakers-casuals-loafers-walking-shoes-women/p/itma8cdb9ca05650?pid=SHOGJ69ZFWRZHFSM&lid=LSTSHOGJ69ZFWRZHFSMK2J7GP&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOGJ69ZFWRZHFSM.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,"Sunshine-01 Aqua Sneakers,Casuals,Loafers Walking Shoes For Women",asian,659,0.34,4.1,20735
https://www.flipkart.com/campus-exotic-women-s-sports-shoes-cushioned-memory-foam-insole-mesh-upper-lace-up-training-gym-women/p/itm2aa0c93b3ce95?pid=SHOH2KZKCEVJBRAE&lid=LSTSHOH2KZKCEVJBRAEZXB29X&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOH2KZKCEVJBRAE.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,EXOTIC Women's Sports Shoes | Cushioned Memory Foam Insole | Mesh Upper |Lace-Up Training & Gym Shoes For Women,CAMPUS,708,0.62,4.2,430
https://www.flipkart.com/off-limits-stussy-w-memory-tech-running-shoes-women/p/itm97464a131d7cd?pid=SHOGW8YDQ9YJUHKG&lid=LSTSHOGW8YDQ9YJUHKGMPNYSZ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=en_GxVLJ-nmb2AHCAdVPTwdbIrvF8HfLHjQxbr0zaUR3srSo3_kbhFk0D2ojBwnhRccS40MlAaG73vlvVLre9-Iag%3D%3D&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,STUSSY W Running Shoes For Women,OFF LIMITS,1899,0.48,3.6,61
https://www.flipkart.com/avant-aura-running-shoes-superior-traction-anti-skid-lightweight-multi-directional-shoes-women/p/itm850f1825253da?pid=SHOH3ZC3MZSYWN29&lid=LSTSHOH3ZC3MZSYWN29QBJIYW&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=en_GxVLJ-nmb2AHCAdVPTwdbIrvF8HfLHjQxbr0zaUR3spgcdRKFfULBx3K-3173awxnDtZr3kiHSZ8Lg_aMRIJmJ2-SIbIDZ6lLvgRS75Tj4w%3D&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,"Aura Running Shoes-Superior Traction,Anti Skid, Lightweight, Multi directional Running Shoes For Women",AVANT,889,0.33,4.4,192
https://www.flipkart.com/nike-revolution-8-running-shoes-women/p/itmc487a4565f01d?pid=SHOHD2VWA8FJFUTU&lid=LSTSHOHD2VWA8FJFUTUXA9Q8W&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=94a04a26-3df8-42bc-9eee-e2265acd5be7.SHOHD2VWA8FJFUTU.SEARCH&ppt=None&ppn=None&ssid=52hsitw7pc0000001763207667125&qH=32e27b1148959538,Revolution 8 Running Shoes For Women,NIKE,3436,0.2,4.1,17
